category,gmv,orders,items,freight,aov,freight_to_gmv,cumulative_gmv_share,gmv_rank
health_beauty,1258681.3399999682,8836,9670,182566.73000000278,142.44922363059848,0.145046028886078,0.09260699940213643,1
watches_gifts,1205005.6799999995,5624,5991,100535.93000000028,214.26132290184913,0.08343191378151871,0.18126483259710044,2
bed_bath_table,1036988.6800000712,9417,11115,204693.04000000242,110.11879367102806,0.19739177866434218,0.25756087911574616,3
sports_leisure,988048.9700000401,7720,8641,168607.510000002,127.98561787565286,0.17064691641750826,0.33025620514169446,4
computers_accessories,911954.3200000388,6689,7827,147318.07999999973,136.33642098969037,0.1615410736800868,0.3973528963240881,5
furniture_decor,729762.4900000411,6449,8334,172749.3000000001,113.15901535122362,0.23671989498938262,0.4510448931206221,6
cool_stuff,635290.8500000009,3632,3796,84039.1,174.91488160792977,0.1322844489260311,0.4977861750451911,7
housewares,632248.6600000213,5884,6964,146149.1100000008,107.45218558803897,0.23115764294383143,0.5443036290011106,8
auto,592720.1100000107,3897,4235,92664.21000000018,152.09651270208127,0.1563372128541387,0.587912784970966,9
garden_tools,485256.46000001475,3518,4347,98962.75000000033,137.93532120523443,0.20393906760148506,0.6236153438895762,10
toys,483946.6000000053,3886,4117,77425.94999999988,124.53592382913156,0.15998862271167735,0.6592215303583989,11
baby,411764.8900000044,2885,3065,68353.10999999967,142.72613171577274,0.166000335774133,0.6895169750513759,12
perfumery,399124.87000000145,3162,3419,54213.83999999993,126.22544908285941,0.1358317761556671,0.7188824350950346,13
telephony,323667.529999989,4199,4545,71215.78999999905,77.08205048820886,0.2200276005443038,0.7426961501352533,14
office_furniture,273960.69999999716,1273,1691,68571.94999999998,215.20871956009202,0.2502984917179752,0.7628527041214348,15
stationery,230943.22999999588,2311,2517,46798.47999999985,99.93216356555425,0.2026406229790788,0.7798442641635799,16
computers,222963.1299999998,181,203,9836.300000000001,1231.840497237568,0.04411626263050761,0.7962486913926424,17
pet_shop,214315.40999999666,1710,1947,39561.23999999984,125.33064912280506,0.18459353902736372,0.8120168659218198,18
musical_instruments,191498.879999999,628,680,18638.490000000013,304.934522292992,0.09732949874171645,0.8261063229607793,19
small_appliances,190648.57999999935,630,679,16020.250000000002,302.6167936507926,0.08403026133213296,0.8401332195016296,20
Unknown,179535.2799999979,1451,1603,28169.810000000005,123.7321019986202,0.15690403579731144,0.8533424592347161,21
electronics,160246.7399999967,2550,2767,46578.31999999982,62.84185882352812,0.290666256299509,0.8651325519959024,22
consoles_games,157465.21999999895,1062,1137,19828.019999999993,148.27233521657152,0.12591999680945498,0.876717995484242,23
fashion_bags_accessories,152823.53999999765,1864,2031,31449.99999999974,81.98687768240217,0.205792903370778,0.8879619291373877,24
construction_tools_construction,144677.58999999968,748,929,20650.409999999996,193.419237967914,0.1427339921822035,0.8986065276269727,25
luggage_accessories,140429.97999999832,1034,1092,30445.22999999996,135.81235976789006,0.21680007360251938,0.9089386098312756,26
home_appliances_2,113317.7399999999,234,238,10600.180000000006,484.26384615384575,0.09354387053606977,0.9172759193209291,27
home_construction,83088.12,490,604,13832.239999999994,169.5675918367347,0.1664767478190624,0.9233890960517169,28
home_appliances,80171.53000000006,764,771,14818.900000000012,104.93655759162311,0.18483993008490673,0.929287685785937,29
agro_industry_and_commerce,72530.47000000002,182,212,5843.6,398.519065934066,0.08056751872695708,0.9346240874457304,30
furniture_living_room,68916.5600000002,422,503,17968.170000000024,163.3093838862564,0.2607235474318505,0.9396945970559845,31
fixed_telephony,59582.99999999998,217,264,4637.810000000006,274.57603686635935,0.07783780608562858,0.9440783935500024,32
home_confort,58572.04000000023,397,434,8501.229999999994,147.53662468513912,0.1451414360845202,0.9483878090477027,33
air_conditioning,55024.96000000008,253,297,6749.229999999997,217.48996047430862,0.12265760847440847,0.9524362494876181,34
audio,50688.50000000011,350,364,5710.439999999998,144.82428571428602,0.11265750614044577,0.9561656365373977,35
small_appliances_home_oven_and_coffee,47445.71000000001,75,76,2747.8599999999997,632.6094666666668,0.0579158790120329,0.9596564365500555,36
books_general_interest,46856.8800000002,512,553,9195.520000000006,91.51734375000039,0.19624695455608582,0.9631039136201026,37
kitchen_dining_laundry_garden_furniture,46328.37000000006,248,281,11999.430000000002,186.80794354838733,0.2590082491570497,0.9665125057685268,38
construction_tools_lights,41080.00000000006,244,304,7583.799999999995,168.36065573770514,0.18461051606621187,0.96953495109646,39
construction_tools_safety,40544.52000000005,167,194,3919.099999999998,242.78155688622783,0.09666164502625739,0.9725179986876796,40
industry_commerce_and_business,39669.610000000044,235,268,7884.6799999999985,168.80685106382998,0.19875869714877434,0.9754366751094282,41
