cohort_month,purchase_month,months_since_first,retained_customers,cohort_customers,retention_rate
2016-09-01,2016-09-01,0,2,2,1.0
2016-10-01,2016-10-01,0,290,290,1.0
2016-10-01,2017-04-01,6,1,290,0.0034482758620689655
2016-10-01,2017-07-01,9,1,290,0.0034482758620689655
2016-10-01,2017-09-01,11,1,290,0.0034482758620689655
2016-10-01,2017-11-01,13,1,290,0.0034482758620689655
2016-10-01,2018-01-01,15,1,290,0.0034482758620689655
2016-10-01,2018-03-01,17,1,290,0.0034482758620689655
2016-10-01,2018-05-01,19,2,290,0.006896551724137931
2016-10-01,2018-06-01,20,2,290,0.006896551724137931
2016-12-01,2016-12-01,0,1,1,1.0
2016-12-01,2017-01-01,1,1,1,1.0
2017-01-01,2017-01-01,0,752,752,1.0
2017-01-01,2017-02-01,1,3,752,0.003989361702127659
2017-01-01,2017-03-01,2,2,752,0.0026595744680851063
2017-01-01,2017-04-01,3,1,752,0.0013297872340425532
2017-01-01,2017-05-01,4,3,752,0.003989361702127659
2017-01-01,2017-06-01,5,1,752,0.0013297872340425532
2017-01-01,2017-07-01,6,3,752,0.003989361702127659
2017-01-01,2017-08-01,7,1,752,0.0013297872340425532
2017-01-01,2017-09-01,8,1,752,0.0013297872340425532
2017-01-01,2017-11-01,10,3,752,0.003989361702127659
2017-01-01,2017-12-01,11,1,752,0.0013297872340425532
2017-01-01,2018-01-01,12,5,752,0.006648936170212766
2017-01-01,2018-02-01,13,3,752,0.003989361702127659
2017-01-01,2018-03-01,14,1,752,0.0013297872340425532
2017-01-01,2018-04-01,15,1,752,0.0013297872340425532
2017-01-01,2018-05-01,16,2,752,0.0026595744680851063
2017-01-01,2018-06-01,17,3,752,0.003989361702127659
2017-01-01,2018-08-01,19,1,752,0.0013297872340425532
2017-02-01,2017-02-01,0,1690,1690,1.0
2017-02-01,2017-03-01,1,4,1690,0.002366863905325444
2017-02-01,2017-04-01,2,5,1690,0.0029585798816568047
2017-02-01,2017-05-01,3,2,1690,0.001183431952662722
2017-02-01,2017-06-01,4,7,1690,0.004142011834319527
2017-02-01,2017-07-01,5,2,1690,0.001183431952662722
2017-02-01,2017-08-01,6,4,1690,0.002366863905325444
2017-02-01,2017-09-01,7,3,1690,0.0017751479289940828
2017-02-01,2017-10-01,8,2,1690,0.001183431952662722
2017-02-01,2017-11-01,9,3,1690,0.0017751479289940828
2017-02-01,2017-12-01,10,2,1690,0.001183431952662722
2017-02-01,2018-01-01,11,5,1690,0.0029585798816568047
2017-02-01,2018-02-01,12,2,1690,0.001183431952662722
2017-02-01,2018-03-01,13,3,1690,0.0017751479289940828
2017-02-01,2018-04-01,14,2,1690,0.001183431952662722
