state,orders,gmv,freight,freight_to_gmv
RR,46,7829.429999999998,2235.19,0.2854856611528554
MA,747,119648.21999999978,31523.77000000001,0.26347044694856364
RO,253,46140.64000000008,11417.379999999997,0.2474473696073565
AM,148,22356.84000000002,5478.890000000001,0.2450654922609813
PI,495,86914.08000000002,21218.200000000023,0.24412845421593393
SE,350,58920.85000000008,14111.46999999999,0.23949875129092624
TO,280,49621.74000000009,11732.680000000004,0.23644233354170938
AC,81,15982.949999999992,3686.749999999999,0.230667680246763
RN,485,83034.97999999998,18860.1,0.22713439564867724
PE,1652,262788.029999997,59449.659999999974,0.22622666641247188
PB,536,115268.07999999987,25719.730000000018,0.22312968169505423
PA,975,178947.80999999907,38699.300000000025,0.21626026046365265
CE,1336,227254.70999999787,48351.58999999991,0.21276386306801018
AP,68,13474.299999999996,2788.5000000000005,0.20694952613493847
AL,413,80314.81000000001,15914.589999999997,0.19815261967251113
BA,3380,511349.9900000056,100156.67999999909,0.19586717895505973
MT,907,156453.52999999945,29715.430000000066,0.189931348944317
ES,2033,275037.30999999674,49764.599999999664,0.18093763351597736
RS,5466,750304.0200000182,135522.74000000133,0.18062376901565588
GO,2020,294591.9499999976,53114.97999999989,0.1803001745295495
PR,5045,683083.7600000157,117851.68000000085,0.1725288857694379
SC,3637,520553.34000000445,89660.26000000014,0.17224029337704255
MG,11635,1585308.0299999057,270853.4600000035,0.1708522601755948
RJ,12852,1824092.6699998537,305589.31000000273,0.16752948741361218
DF,2140,302603.939999998,50625.499999999956,0.16729954011834838
MS,715,116812.63999999974,19144.02999999998,0.16388663076187665
SP,41746,5202955.050001128,718723.0699999878,0.1381374743954077
