month,gmv,orders
2016-09-01,267.36,4
2016-10-01,49507.660000000105,324
2016-12-01,10.9,1
2017-01-01,120312.86999999973,800
2017-02-01,247303.01999999618,1780
2017-03-01,374344.3000000017,2682
2017-04-01,359927.22999999986,2404
2017-05-01,506071.14000000607,3700
2017-06-01,433038.6000000033,3245
2017-07-01,498031.4800000085,4026
2017-08-01,573971.6800000103,4331
2017-09-01,624401.6900000119,4285
2017-10-01,664219.4300000112,4631
2017-11-01,1010271.3700000283,7544
2017-12-01,743914.1700000167,5673
2018-01-01,950030.3600000315,7269
2018-02-01,844178.7100000234,6728
2018-03-01,983213.440000027,7211
2018-04-01,996647.7500000247,6939
2018-05-01,996517.6800000254,6873
2018-06-01,865124.3100000182,6167
2018-07-01,895507.2200000191,6292
2018-08-01,854686.3300000201,6512
2018-09-01,145.0,16
2018-10-01,0.0,4
