state,orders,gmv,late_rate,avg_delivery_days,median_delivery_days,avg_review,freight,freight_to_gmv
SP,41746,5202955.050001128,0.058936816374904326,8.70057292438386,7.0,4.1741255144032925,718723.0699999878,0.1381374743954077
RJ,12852,1824092.6699998537,0.13473684210526315,15.237004048582996,12.0,3.8772628149549404,305589.31000000273,0.16752948741361218
MG,11635,1585308.0299999057,0.056103575832305796,11.944953320415712,10.0,4.135753851480007,270853.4600000035,0.1708522601755948
RS,5466,750304.0200000182,0.0714686623012161,15.248502994011975,13.0,4.133657909241228,135522.74000000133,0.18062376901565588
PR,5045,683083.7600000157,0.049969530773918344,11.938045906967297,10.0,4.181111775254035,117851.68000000085,0.1725288857694379
SC,3637,520553.34000000445,0.09757473209249859,14.902989283699943,13.0,4.073704627320588,89660.26000000014,0.17224029337704255
BA,3380,511349.9900000056,0.14035626535626536,19.278562653562652,17.0,3.861077844311377,100156.67999999909,0.19586717895505973
DF,2140,302603.939999998,0.07067307692307692,12.899038461538462,11.0,4.066964285714286,50625.499999999956,0.16729954011834838
GO,2020,294591.9499999976,0.08175779253960143,15.536024527337762,14.0,4.043348281016442,53114.97999999989,0.1803001745295495
ES,2033,275037.30999999674,0.12230576441102757,15.723809523809523,14.0,4.038384845463609,49764.599999999664,0.18093763351597736
PE,1652,262788.029999997,0.10797237915881984,18.3954802259887,16.0,4.008562691131498,59449.659999999974,0.22622666641247188
CE,1336,227254.70999999787,0.1532447224394058,21.200156372165754,18.0,3.854449472096531,48351.58999999991,0.21276386306801018
PA,975,178947.80999999907,0.12367864693446089,23.725158562367866,21.0,3.8461538461538463,38699.300000000025,0.21626026046365265
MT,907,156453.52999999945,0.06772009029345373,18.003386004514674,16.0,4.101666666666667,29715.430000000066,0.189931348944317
MA,747,119648.21999999978,0.19665271966527198,21.511854951185494,19.0,3.7580862533692723,31523.77000000001,0.26347044694856364
MS,715,116812.63999999974,0.11554921540656206,15.544935805991441,14.0,4.109396914446003,19144.02999999998,0.16388663076187665
PB,536,115268.07999999987,0.1102514506769826,20.38878143133462,18.0,4.016981132075472,25719.730000000018,0.22312968169505423
PI,495,86914.08000000002,0.15966386554621848,19.394957983193276,16.0,3.9183673469387754,21218.200000000023,0.24412845421593393
RN,485,83034.97999999998,0.10759493670886076,19.223628691983123,16.0,4.105208333333334,18860.1,0.22713439564867724
AL,413,80314.81000000001,0.23929471032745592,24.50125944584383,22.0,3.7609756097560973,15914.589999999997,0.19815261967251113
SE,350,58920.85000000008,0.15223880597014924,21.46268656716418,18.0,3.8080229226361033,14111.46999999999,0.23949875129092624
TO,280,49621.74000000009,0.12773722627737227,17.598540145985403,16.0,4.096774193548387,11732.680000000004,0.23644233354170938
RO,253,46140.64000000008,0.02880658436213992,19.28395061728395,18.0,4.051587301587301,11417.379999999997,0.2474473696073565
AM,148,22356.84000000002,0.041379310344827586,26.358620689655172,26.0,4.205479452054795,5478.890000000001,0.2450654922609813
AC,81,15982.949999999992,0.0375,21.0,18.0,4.049382716049383,3686.749999999999,0.230667680246763
AP,68,13474.299999999996,0.04477611940298507,27.17910447761194,25.0,4.1940298507462686,2788.5000000000005,0.20694952613493847
RR,46,7829.429999999998,0.12195121951219512,29.341463414634145,25.0,3.608695652173913,2235.19,0.2854856611528554
