state,gmv,orders,late_rate,avg_review
SP,5202955.050001128,41746,0.05717913093470033,4.1741255144032925
RJ,1824092.6699998537,12852,0.129474011826953,3.8772628149549404
MG,1585308.0299999057,11635,0.054748603351955305,4.135753851480007
RS,750304.0200000182,5466,0.0698865715331138,4.133657909241228
PR,683083.7600000157,5045,0.0487611496531219,4.181111775254035
SC,520553.34000000445,3637,0.09513335166345889,4.073704627320588
BA,511349.9900000056,3380,0.13520710059171598,3.861077844311377
DF,302603.939999998,2140,0.06869158878504673,4.066964285714286
GO,294591.9499999976,2020,0.07920792079207921,4.043348281016442
ES,275037.30999999674,2033,0.12001967535661584,4.038384845463609
PE,262788.029999997,1652,0.10411622276029056,4.008562691131498
CE,227254.70999999787,1336,0.1467065868263473,3.854449472096531
PA,178947.80999999907,975,0.12,3.8461538461538463
MT,156453.52999999945,907,0.06615214994487321,4.101666666666667
MA,119648.21999999978,747,0.18875502008032127,3.7580862533692723
MS,116812.63999999974,715,0.11328671328671329,4.109396914446003
PB,115268.07999999987,536,0.10634328358208955,4.016981132075472
PI,86914.08000000002,495,0.15353535353535352,3.9183673469387754
RN,83034.97999999998,485,0.10515463917525773,4.105208333333334
AL,80314.81000000001,413,0.23002421307506055,3.7609756097560973
SE,58920.85000000008,350,0.1457142857142857,3.8080229226361033
TO,49621.74000000009,280,0.125,4.096774193548387
RO,46140.64000000008,253,0.02766798418972332,4.051587301587301
AM,22356.84000000002,148,0.04054054054054054,4.205479452054795
AC,15982.949999999992,81,0.037037037037037035,4.049382716049383
AP,13474.299999999996,68,0.04411764705882353,4.1940298507462686
RR,7829.429999999998,46,0.10869565217391304,3.608695652173913
